Q (L/min)              Time (s)                   N_bound (mol/m^2)
0                        2520                     5.468884512531158E-13
0                        2530                     5.469530900211792E-13
0                        2540                     5.470085508071754E-13
0                        2550                     5.470561333192352E-13
0                        2560                     5.471173328393063E-13
0                        2570                     5.471818683359546E-13
0                        2580                     5.472354342141815E-13
0                        2590                     5.472806545635495E-13
0                        2600                     5.473476368516603E-13
0                        2610                     5.474102831457035E-13
0                        2620                     5.474602663024099E-13
0                        2630                     5.475102174443381E-13
0                        2640                     5.475765876686465E-13
0                        2650                     5.476352059674375E-13
0                        2660                     5.476822613042443E-13
0                        2670                     5.47738728911924E-13
0                        2680                     5.478028408010385E-13
0                        2690                     5.47857537197366E-13
0                        2700                     5.479029734554311E-13
0                        2710                     5.479647649707951E-13
0                        2720                     5.480263548569966E-13
0                        2730                     5.480775104801108E-13
0                        2740                     5.481241746376853E-13
0                        2750                     5.4818852608131E-13
0                        2760                     5.48247228994341E-13
0                        2770                     5.482954495082813E-13
0                        2780                     5.483431494125535E-13
0                        2790                     5.484079569208202E-13
0                        2800                     5.484671575254584E-13
0                        2810                     5.48514612374187E-13
0                        2820                     5.485665214488611E-13
0                        2830                     5.486301427826422E-13
0                        2840                     5.486854389691162E-13
0                        2850                     5.487305300038853E-13
0                        2860                     5.487838574637559E-13
0                        2870                     5.488462215272474E-13
0                        2880                     5.488994509710522E-13
0                        2890                     5.489425947391158E-13
0                        2900                     5.490017547589109E-13
0                        2910                     5.49063666795298E-13
0                        2920                     5.491155023533E-13
0                        2930                     5.491578474478941E-13
0                        2940                     5.49217919769712E-13
0                        2950                     5.492785103760397E-13
0                        2960                     5.493267407687066E-13
0                        2970                     5.493692198622791E-13
0                        2980                     5.494335862331921E-13
0                        2990                     5.494923190342351E-13
0                        3000                     5.495388508593649E-13
0                        3010                     5.495879051018569E-13
0                        3020                     5.496492323120557E-13
0                        3030                     5.497029691112773E-13
0                        3040                     5.49747011242445E-13
0                        3050                     5.497980440973436E-13
0                        3060                     5.49858393406485E-13
0                        3070                     5.499103703738072E-13
0                        3080                     5.499525272523126E-13
0                        3090                     5.500088635765422E-13
0                        3100                     5.500685111538786E-13
0                        3110                     5.501174242261125E-13
0                        3120                     5.501582431835459E-13
0                        3130                     5.50219423525751E-13
