spatialFrequency, correlation, smoothCorrelation
0.0169523,0.103515,0.165053
0.0169829,0.0982703,0.163709
0.0170135,0.127715,0.162369
0.0170441,0.145149,0.161028
0.0170747,0.167102,0.159687
0.0171053,0.182688,0.158346
0.0171359,0.191272,0.157004
0.0171665,0.183201,0.155661
0.0171971,0.177258,0.154316
0.0172277,0.160299,0.152971
0.0172583,0.1298,0.151624
0.0172889,0.131108,0.150277
0.0173195,0.139361,0.148931
0.0173501,0.136247,0.147584
0.0173807,0.112025,0.14624
0.0174113,0.0845527,0.144899
0.0174419,0.0999505,0.143561
0.0174725,0.124908,0.142227
0.0175031,0.141986,0.140899
0.0175337,0.141312,0.139577
0.0175643,0.130435,0.138263
0.0175949,0.130026,0.136956
0.0176255,0.120105,0.135659
0.0176561,0.122008,0.134371
0.0176867,0.130336,0.133094
0.0177173,0.139783,0.131828
0.0177479,0.155526,0.130573
0.0177785,0.166996,0.129331
0.0178091,0.144428,0.128101
0.0178397,0.137283,0.126886
0.0178703,0.1519,0.125683
0.0179009,0.164007,0.124496
0.0179315,0.158989,0.123324
0.0179621,0.153857,0.122166
0.0179927,0.138943,0.121025
0.0180233,0.115062,0.119899
0.0180539,0.119215,0.11879
0.0180845,0.128024,0.117697
0.0181151,0.144298,0.116622
0.0181457,0.138221,0.115563
0.0181763,0.126487,0.114522
0.0182069,0.136523,0.113498
0.0182375,0.140176,0.112492
0.0182681,0.144184,0.111503
0.0182987,0.123408,0.110533
0.0183293,0.108494,0.10958
0.0183599,0.120354,0.108645
0.0183905,0.100938,0.107727
0.0184211,0.0736369,0.106827
0.0184517,0.0929222,0.105945
0.0184823,0.122834,0.105078
0.0185129,0.102636,0.104228
0.0185435,0.100964,0.103392
0.0185741,0.0853627,0.102571
0.0186047,0.0757134,0.101764
0.0186353,0.0741744,0.10097
0.0186659,0.0553472,0.100188
0.0186964,0.0599699,0.0994172
0.0187271,0.0453377,0.0986565
0.0187577,0.0476811,0.0979058
0.0187883,0.0427125,0.0971638
0.0188188,0.0276525,0.0964297
0.0188494,0.0233586,0.0957031
0.01888,0.0665761,0.0949828
0.0189106,0.0926281,0.0942687
0.0189412,0.104352,0.0935597
0.0189718,0.0897774,0.0928562
0.0190024,0.099157,0.0921573
0.019033,0.0799524,0.0914624
0.0190636,0.0774431,0.0907719
0.0190942,0.0893141,0.0900846
0.0191248,0.103778,0.0894007
0.0191554,0.0997244,0.0887203
0.019186,0.0618426,0.0880428
0.0192166,0.0497602,0.0873678
0.0192472,0.0621919,0.0866956
0.0192778,0.0769133,0.0860258
0.0193084,0.104501,0.0853586
0.019339,0.113546,0.0846939
0.0193696,0.111408,0.084032
0.0194002,0.0894519,0.0833724
0.0194308,0.0751485,0.0827158
0.0194614,0.0559271,0.082063
0.019492,0.0516885,0.0814132
0.0195226,0.0672849,0.0807673
0.0195532,0.0764313,0.0801262
0.0195838,0.0693141,0.0794894
0.0196144,0.0611851,0.0788578
0.019645,0.0598898,0.0782315
0.0196756,0.0434773,0.077611
0.0197062,0.0287114,0.0769967
0.0197368,0.0190916,0.076389
