image-ID,x,y,z,chisq,vis-probe
43,20722.7,25838.9,656.024,42.8723,1
43,26107.1,29949.6,774.432,664.168,1
43,23258.2,23739.2,1149.51,261.644,1
43,18408.8,30679.7,1119.39,628.071,1
44,21004.8,29565.8,320.716,190.679,1
44,32481.3,23401.6,344.941,348.671,1
44,10837.2,33605.4,626.173,509.045,1
44,18404.3,30689.6,1114,566.626,1
45,32499.4,23430.1,329.346,160.082,1
45,10820.7,33609.9,636.039,385.259,1
45,16168,34266.9,971.436,719.529,1
45,18397.9,30680.6,1111.45,593.916,1
46,20292.8,31123.5,438.686,415.174,1
46,32915.3,25450.3,497.474,128.517,1
46,20706.7,25864.7,672.049,62.7451,1
46,18405,30659.3,1128.47,631.432,1
47,20272.9,31134.5,443.385,399.542,1
47,32949.1,25405.8,476.47,279.118,1
48,19167,30019.8,232.474,174.537,1
48,32950.9,25445.4,469.517,168.834,1
48,20702.1,25848,595.717,74.8573,1
49,20741.7,25799.8,601.59,158.108,1
49,21662.5,27950.3,1018.75,118.408,1
50,20248.6,31148.5,441.693,368.45,1
50,19325.1,29691.7,524.617,117.42,1
50,20741.1,25813,611.225,137.238,1
50,9671.11,32276.6,598.588,323.635,1
51,19298.9,29663.5,563.534,517.466,1
51,9693.62,32292.9,632.141,251.393,1
51,24267.2,28880.1,964.002,221.696,1
52,27494.1,23645.9,279.201,300.417,1
52,19308.2,29675.5,561.349,509.086,1
52,9681.02,32295.9,610.121,41.2204,1
52,19148.8,22953.4,696.562,57.3064,1
52,18284.4,25381,923.474,178.833,1
52,24257.4,28875.3,964.901,453.195,1
52,13295.2,28939.6,1105.92,311.65,1
53,19322.7,29682.9,562.748,531.321,1
53,18172.4,23353,621.066,299.563,1
53,19212.7,22933.7,733.295,44.4281,1
53,18314.3,25400.4,949.819,594.615,1
53,24249.5,28868.3,961.253,319.063,1
53,13289.5,28928.8,1113.86,268.843,1
53,31022.2,27596.9,1293.98,222.734,1
54,33091.2,24959.5,454.703,150.374,1
54,18194.8,23377.5,629.59,252.177,1
54,24242.2,28870,920.832,359.539,1
54,12914.4,29000.5,905.807,201.768,1
54,18310.7,25388.3,952.524,671.343,1
54,22648.7,36956.4,1015.1,472.809,1
54,13633.9,30045.8,1104.69,278.163,1
54,31022.1,27549.5,1288.2,134.373,1
55,33077,24932.1,450.506,308.934,1
55,18193.4,23339.3,607.421,456.804,1
55,18312.9,25381.7,966.816,356.882,1
55,13630.1,30007.7,1097.31,471.163,1
56,33083.9,24954.6,452.916,263.182,1
56,18161.8,23344.7,628.72,338.646,1
56,30279.8,34330.3,769.254,261.08,1
56,18455.8,29375.2,880.082,711.261,1
56,13618,30044.4,1096.86,308.31,1
57,33082.9,24944.8,453.677,360.912,1
57,18178.7,23376.6,625.107,226.797,1
57,30279.6,34347.1,765.143,332.595,1
57,18458.4,29384.2,864.183,742.226,1
57,13615.1,30027.3,1079.09,493.22,1
58,33067.3,24961.6,440.446,317.112,1
58,18187.1,23321.8,641.937,279.664,1
58,30299.8,34344.1,764.832,181.069,1
58,20238.2,38846.4,1035.24,146.736,1
58,13617.1,30038.4,1091.47,425.353,1
59,33042.3,24940.7,430.98,317.975,1
59,30305.4,34313.1,763.854,162.491,1
59,20783.8,32398.1,844.112,401.661,1
59,13638.6,30018.9,1086.53,366.763,1
60,33056.8,24931.8,454.168,234.385,1
60,20802.2,32391.9,822.415,631.147,1
60,13614,30024.8,1071.45,490.735,1
61,33069,24959.1,454.691,192.788,1
61,20782.9,32415.9,829.042,306.087,1
61,13611.6,30031.1,1078.82,527.869,1
61,27565,35280,1124.9,340.464,1
62,33091.8,24911.3,460.892,183.141,1
62,13613.9,30022.2,1074.12,640.201,1
62,27549.9,35294.7,1111.67,284.446,1
63,33076.2,24952.2,397.332,179.682,1
63,13616.7,30025,1086.78,547.713,1
63,27569,35307.8,1107.16,249.391,1
64,33039.3,24973.6,468.522,70.7837,1
64,22351.2,28842.5,908.937,909.25,1
64,13617.7,30026.6,1086.04,431.079,1
64,27576.8,35310.1,1109.85,339.533,1
65,33075.9,24969.2,472.976,265.059,1
65,13601.2,30002.7,1102.28,136.995,1
65,27579.7,35296.4,1110.43,241.093,1
66,33115.6,24947.8,463.209,326.807,1
66,25516.1,32783.5,619.759,302.84,1
66,27551.3,35314.9,1097.58,175.225,1
67,33116.7,24934.9,442.595,204.221,1
67,25509.1,32793.2,606.957,517.974,1
67,28572.3,33117.3,868.93,521.029,1
67,12982,31249.9,1022.58,69.8279,1
