spatialFrequency, correlation, smoothCorrelation
0.0123567,0.626915,0.631726
0.0123954,0.678828,0.630541
0.0124341,0.656503,0.629355
0.0124729,0.630885,0.628169
0.0125116,0.634914,0.626983
0.0125504,0.629387,0.625796
0.0125891,0.627081,0.624607
0.0126278,0.622361,0.623417
0.0126666,0.62785,0.622225
0.0127053,0.647436,0.621031
0.012744,0.620359,0.619834
0.0127828,0.607392,0.618633
0.0128215,0.635283,0.617429
0.0128602,0.636236,0.61622
0.012899,0.635917,0.615008
0.0129377,0.617863,0.613792
0.0129764,0.611066,0.612571
0.0130152,0.620588,0.611347
0.0130539,0.60075,0.610118
0.0130927,0.599804,0.608885
0.0131314,0.591122,0.607649
0.0131701,0.620949,0.606408
0.0132089,0.597065,0.605164
0.0132476,0.590107,0.603917
0.0132863,0.605845,0.602667
0.0133251,0.615727,0.601415
0.0133638,0.609526,0.60016
0.0134025,0.589491,0.598903
0.0134413,0.576279,0.597644
0.01348,0.5716,0.596382
0.0135187,0.557992,0.595119
0.0135575,0.582389,0.593854
0.0135962,0.570195,0.592587
0.013635,0.559403,0.591319
0.0136737,0.58573,0.59005
0.0137124,0.569988,0.588781
0.0137512,0.572058,0.58751
0.0137899,0.58352,0.58624
0.0138286,0.569726,0.584969
0.0138674,0.592344,0.583698
0.0139061,0.578709,0.582428
0.0139448,0.589402,0.581159
0.0139836,0.584879,0.57989
0.0140223,0.583501,0.578624
0.014061,0.579914,0.577359
0.0140998,0.575685,0.576097
0.0141385,0.579019,0.574837
0.0141773,0.566698,0.573579
0.014216,0.573644,0.572324
0.0142547,0.588491,0.571073
0.0142935,0.570525,0.569824
0.0143322,0.567014,0.56858
0.0143709,0.58158,0.567339
0.0144097,0.585701,0.566103
0.0144484,0.592795,0.564871
0.0144871,0.55262,0.563644
0.0145259,0.543895,0.562422
0.0145646,0.58374,0.561205
0.0146033,0.568253,0.559993
0.0146421,0.551048,0.558787
0.0146808,0.548586,0.557584
0.0147196,0.568176,0.556386
0.0147583,0.553466,0.555193
0.014797,0.5522,0.554005
0.0148358,0.57611,0.55282
0.0148745,0.567081,0.551639
0.0149132,0.546689,0.550461
0.014952,0.553388,0.549285
0.0149907,0.528484,0.548112
0.0150294,0.542343,0.54694
0.0150682,0.562717,0.545769
0.0151069,0.555656,0.544597
0.0151456,0.529595,0.543426
0.0151844,0.515379,0.542254
0.0152231,0.528089,0.54108
0.0152619,0.528622,0.539904
0.0153006,0.52998,0.538727
0.0153393,0.544083,0.537547
0.0153781,0.525217,0.536365
0.0154168,0.513102,0.53518
0.0154555,0.526511,0.533992
0.0154943,0.520241,0.5328
0.015533,0.543205,0.531603
0.0155717,0.511771,0.530401
0.0156105,0.509241,0.529193
0.0156492,0.513952,0.527978
0.0156879,0.50726,0.526758
0.0157267,0.505333,0.52553
0.0157654,0.517649,0.524296
0.0158042,0.544346,0.523055
0.0158429,0.53129,0.521806
0.0158816,0.526496,0.52055
0.0159204,0.529299,0.519287
0.0159591,0.523109,0.518017
0.0159978,0.520068,0.516739
0.0160366,0.533881,0.515455
0.0160753,0.545618,0.514164
0.016114,0.516179,0.512867
0.0161528,0.501424,0.511562
0.0161915,0.518387,0.510252
0.0162302,0.522969,0.508936
0.016269,0.528024,0.507615
0.0163077,0.519323,0.506289
0.0163465,0.507895,0.504957
0.0163852,0.470356,0.50362
0.0164239,0.469999,0.50228
0.0164627,0.486677,0.500936
0.0165014,0.497413,0.499588
0.0165401,0.545158,0.498239
0.0165789,0.518488,0.496887
0.0166176,0.497274,0.495534
0.0166563,0.500874,0.494182
0.0166951,0.49564,0.492831
0.0167338,0.504709,0.49148
0.0167725,0.500027,0.490132
0.0168113,0.505596,0.488786
0.01685,0.515475,0.487443
0.0168888,0.499479,0.486102
