spatialFrequency, correlation, smoothCorrelation
0.00616489,0.724196,0.741094
0.00618789,0.736732,0.739311
0.00621089,0.758798,0.737524
0.0062339,0.760168,0.735731
0.0062569,0.783878,0.733934
0.0062799,0.800836,0.732133
0.00630291,0.760949,0.730327
0.00632591,0.733831,0.728516
0.00634891,0.724598,0.7267
0.00637192,0.718101,0.724881
0.00639492,0.723572,0.723056
0.00641792,0.723394,0.721228
0.00644093,0.724542,0.719395
0.00646393,0.734811,0.717559
0.00648693,0.737674,0.715717
0.00650994,0.735299,0.713872
0.00653294,0.741549,0.712023
0.00655594,0.737042,0.710171
0.00657895,0.72193,0.708314
0.00660195,0.717739,0.706454
0.00662495,0.711647,0.70459
0.00664796,0.704335,0.702722
0.00667096,0.713839,0.70085
0.00669396,0.731033,0.698976
0.00671697,0.744431,0.697098
0.00673997,0.744415,0.695216
0.00676297,0.738005,0.693331
0.00678598,0.738666,0.691442
0.00680898,0.717139,0.68955
0.00683198,0.707999,0.687656
0.00685499,0.696904,0.685756
0.00687799,0.694726,0.683855
0.00690099,0.694626,0.68195
0.006924,0.720607,0.680042
0.006947,0.710888,0.67813
0.00697,0.697244,0.676215
0.00699301,0.695646,0.674296
0.00701601,0.688914,0.672375
0.00703901,0.681456,0.67045
0.00706202,0.693069,0.668522
0.00708502,0.699421,0.666591
0.00710802,0.685529,0.664656
0.00713103,0.690007,0.662718
0.00715403,0.662261,0.660777
0.00717703,0.643429,0.658832
0.00720004,0.651303,0.656883
0.00722304,0.642361,0.654931
0.00724604,0.651098,0.652975
0.00726905,0.652391,0.651016
0.00729205,0.658579,0.649053
0.00731505,0.656642,0.647086
0.00733806,0.636978,0.645116
0.00736106,0.633607,0.643141
0.00738406,0.638766,0.641164
0.00740707,0.639804,0.639182
0.00743007,0.620653,0.637196
0.00745307,0.612283,0.635207
0.00747608,0.627531,0.633214
0.00749908,0.628921,0.631217
0.00752208,0.609367,0.629216
0.00754509,0.592745,0.627212
0.00756809,0.594241,0.625205
0.00759109,0.605189,0.623194
0.0076141,0.630135,0.621179
0.0076371,0.650202,0.619162
