% Model:              fff-holesurface-binding-with epi-new-111kb1e-2.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 22 2026, 15:21
% Q (L/min)              Time (s)                 N_bound (mol/m^2)
0                        2580                     5.728273474934161E-14
0                        2590                     5.71823405266665E-14
0                        2600                     5.70829273194384E-14
0                        2610                     5.698365916351297E-14
0                        2620                     5.688460592170062E-14
0                        2630                     5.6785973331524106E-14
0                        2640                     5.668766018513096E-14
0                        2650                     5.659032225275831E-14
0                        2660                     5.6493315437225744E-14
0                        2670                     5.639651381135268E-14
0                        2680                     5.629995524728502E-14
0                        2690                     5.620388734660643E-14
0                        2700                     5.6108259503073246E-14
0                        2710                     5.601308425771054E-14
0                        2720                     5.591845807153914E-14
0                        2730                     5.582413715948697E-14
0                        2740                     5.573071950125794E-14
0                        2750                     5.5637602573200804E-14
0                        2760                     5.5544672910345794E-14
0                        2770                     5.545196658457318E-14
0                        2780                     5.5359712482741555E-14
0                        2790                     5.526786662572554E-14
0                        2800                     5.5176475786859775E-14
0                        2810                     5.508596877076108E-14
0                        2820                     5.499561144897478E-14
0                        2830                     5.4905470907070965E-14
0                        2840                     5.481553713640767E-14
0                        2850                     5.4726073030613575E-14
0                        2860                     5.46370982593116E-14
0                        2870                     5.454840892909724E-14
0                        2880                     5.446027976640195E-14
0                        2890                     5.437283280756238E-14
0                        2900                     5.428548132453174E-14
0                        2910                     5.419836124840246E-14
0                        2920                     5.411146586259886E-14
0                        2930                     5.402508730152067E-14
0                        2940                     5.393896620066257E-14
0                        2950                     5.385338284758796E-14
0                        2960                     5.3768057073467857E-14
0                        2970                     5.368324936243409E-14
0                        2980                     5.3599078469201815E-14
0                        2990                     5.351499804007097E-14
0                        3000                     5.343113596874945E-14
0                        3010                     5.334748549606735E-14
0                        3020                     5.326432165763187E-14
0                        3030                     5.318140034490845E-14
0                        3040                     5.309899603756774E-14
0                        3050                     5.301695758152469E-14
0                        3060                     5.2935126782800226E-14
0                        3070                     5.2853889904321626E-14
0                        3080                     5.2773074361338994E-14
0                        3090                     5.269236147062191E-14
0                        3100                     5.2611853670424286E-14
0                        3110                     5.253160748386946E-14
0                        3120                     5.245179008557989E-14
0                        3130                     5.237222665364827E-14
0                        3140                     5.229313597198462E-14
0                        3150                     5.221424620753972E-14
0                        3160                     5.2135941320304227E-14
0                        3170                     5.2058038303648E-14
0                        3180                     5.1980230105572484E-14
0                        3190                     5.1902613324979285E-14
0                        3200                     5.18252432413497E-14
0                        3210                     5.174827805289403E-14
0                        3220                     5.167155400868868E-14
0                        3230                     5.1595517804489535E-14
0                        3240                     5.151970225346943E-14
0                        3250                     5.144401913313764E-14
0                        3260                     5.136849638723138E-14
0                        3270                     5.129330243261573E-14
0                        3280                     5.1218405817522524E-14
0                        3290                     5.1143817447408386E-14
0                        3300                     5.1069604075035224E-14
0                        3310                     5.099559965739491E-14
0                        3320                     5.092221459887306E-14
0                        3330                     5.0849036299899145E-14
0                        3340                     5.077598745640432E-14
0                        3350                     5.070309293707808E-14
0                        3360                     5.0630511055338704E-14
0                        3370                     5.055821165916581E-14
0                        3380                     5.048622766054602E-14
0                        3390                     5.0414857147075915E-14
0                        3400                     5.034359092105596E-14
0                        3410                     5.0272476130629957E-14
0                        3420                     5.020150573869083E-14
0                        3430                     5.013086348151134E-14
0                        3440                     5.0060563516563346E-14
0                        3450                     4.999046353359254E-14
0                        3460                     4.992075636709405E-14
0                        3470                     4.985152826282381E-14
0                        3480                     4.97823675307639E-14
0                        3490                     4.9713370107523177E-14
0                        3500                     4.964453124366472E-14
0                        3510                     4.957605729552937E-14
0                        3520                     4.950776533612704E-14
0                        3530                     4.943985383996347E-14
0                        3540                     4.937212483861593E-14
0                        3550                     4.9304763398521273E-14
0                        3560                     4.923785428225381E-14
0                        3570                     4.9171009675924046E-14
0                        3580                     4.9104320804718434E-14
0                        3590                     4.9037782851506294E-14
0                        3600                     4.8971592152202106E-14
5.000000000000001E-5     0                        4.9615676894699126E-15
5.000000000000001E-5     10                       1.7195005854297212E-13
5.000000000000001E-5     20                       2.152668200470279E-13
5.000000000000001E-5     30                       2.3859439758173663E-13
5.000000000000001E-5     40                       2.5254694547379E-13
5.000000000000001E-5     50                       2.613611442721951E-13
5.000000000000001E-5     60                       2.670950772159216E-13
5.000000000000001E-5     70                       2.707589148108926E-13
