% Model:              refresh-2_5-D_Cd_without_photobleaching.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 22 2026, 16:15
% Table:              Evaluation Group 5 - 
% Q (L/min)              Time (s)                 Dependent variable N_bound (mol/m^2)
0                        2640                     5.293776217767349E-13
0                        2650                     5.293782886723278E-13
0                        2660                     5.293789640679749E-13
0                        2670                     5.293796587125191E-13
0                        2680                     5.293803642056673E-13
0                        2690                     5.293810880042066E-13
0                        2700                     5.293818378608505E-13
0                        2710                     5.293825946127664E-13
0                        2720                     5.29383375775341E-13
0                        2730                     5.293841874300114E-13
0                        2740                     5.293850073359917E-13
0                        2750                     5.293858315994179E-13
0                        2760                     5.293866641343644E-13
0                        2770                     5.293875205828024E-13
0                        2780                     5.293884108559744E-13
0                        2790                     5.29389332035315E-13
0                        2800                     5.293902605064684E-13
0                        2810                     5.293911908541901E-13
0                        2820                     5.293921384594996E-13
0                        2830                     5.29393094782067E-13
0                        2840                     5.293940724686273E-13
0                        2850                     5.293950934323975E-13
0                        2860                     5.293961253105812E-13
0                        2870                     5.293971612614157E-13
0                        2880                     5.293982141049174E-13
0                        2890                     5.293992893335219E-13
0                        2900                     5.294003771810499E-13
0                        2910                     5.294014916895592E-13
0                        2920                     5.294026191252604E-13
0                        2930                     5.294037778040717E-13
0                        2940                     5.294049648760529E-13
0                        2950                     5.294061637022705E-13
0                        2960                     5.294074025737113E-13
0                        2970                     5.294086558201232E-13
0                        2980                     5.29409914784076E-13
0                        2990                     5.29411194825535E-13
0                        3000                     5.294125026165322E-13
0                        3010                     5.294138238928796E-13
0                        3020                     5.294151742375391E-13
0                        3030                     5.294165388350032E-13
0                        3040                     5.294179341879992E-13
0                        3050                     5.2941934719999E-13
0                        3060                     5.294207878473997E-13
0                        3070                     5.294222874020454E-13
0                        3080                     5.294237981314568E-13
0                        3090                     5.294253131470862E-13
0                        3100                     5.294268458809358E-13
0                        3110                     5.294284102310334E-13
0                        3120                     5.294299887666408E-13
0                        3130                     5.294315989143796E-13
0                        3140                     5.294332265668123E-13
0                        3150                     5.294348845779553E-13
0                        3160                     5.294365846219389E-13
0                        3170                     5.294382955672623E-13
0                        3180                     5.294400398979192E-13
0                        3190                     5.294418372925051E-13
0                        3200                     5.294436415900907E-13
0                        3210                     5.294454570987079E-13
0                        3220                     5.294473078690378E-13
0                        3230                     5.294491786048005E-13
0                        3240                     5.294510709199982E-13
0                        3250                     5.294530181433428E-13
0                        3260                     5.294549974331772E-13
0                        3270                     5.29456989919688E-13
0                        3280                     5.294590077985016E-13
0                        3290                     5.294610357106023E-13
0                        3300                     5.294630928027775E-13
0                        3310                     5.294651981371598E-13
0                        3320                     5.294673168193292E-13
0                        3330                     5.294694830277641E-13
0                        3340                     5.294716826825032E-13
0                        3350                     5.294738879109069E-13
0                        3360                     5.294761156741053E-13
0                        3370                     5.294783846336702E-13
0                        3380                     5.294806710599264E-13
0                        3390                     5.294829952611074E-13
0                        3400                     5.294853411934624E-13
0                        3410                     5.294877227753486E-13
0                        3420                     5.294901352716863E-13
0                        3430                     5.294925753190409E-13
0                        3440                     5.294950910668366E-13
0                        3450                     5.294976357798772E-13
0                        3460                     5.295001844474291E-13
0                        3470                     5.295027505000413E-13
0                        3480                     5.295053583520952E-13
0                        3490                     5.295079867847216E-13
0                        3500                     5.295106518629981E-13
0                        3510                     5.295133453817449E-13
0                        3520                     5.295160704143282E-13
0                        3530                     5.295188536674415E-13
0                        3540                     5.295216538996134E-13
0                        3550                     5.29524487699624E-13
0                        3560                     5.295273936171029E-13
0                        3570                     5.295303171645797E-13
0                        3580                     5.295332506251663E-13
0                        3590                     5.295362219579761E-13
0                        3600                     5.295392283577632E-13
5.000000000000001E-5     0                        4.961727391623756E-15
5.000000000000001E-5     10                       1.7863378622206309E-13
5.000000000000001E-5     20                       2.352166423275164E-13
5.000000000000001E-5     30                       2.7387088613375373E-13
5.000000000000001E-5     40                       3.0597365173122954E-13
5.000000000000001E-5     50                       3.325156976769272E-13
5.000000000000001E-5     60                       3.4970926723178235E-13
5.000000000000001E-5     70                       3.58746276918037E-13
5.000000000000001E-5     80                       3.648443895496189E-13
5.000000000000001E-5     90                       3.7327275165013516E-13
5.000000000000001E-5     100                      3.8578512992188744E-13
5.000000000000001E-5     110                      4.000475304369263E-13
5.000000000000001E-5     120                      4.120748750347032E-13
5.000000000000001E-5     130                      4.1948561025783174E-13
5.000000000000001E-5     140                      4.230951755438233E-13
5.000000000000001E-5     150                      4.259320174194185E-13
5.000000000000001E-5     160                      4.307678546959379E-13
5.000000000000001E-5     170                      4.3817889836329914E-13
5.000000000000001E-5     180                      4.4647734887989003E-13
5.000000000000001E-5     190                      4.522076486639869E-13
5.000000000000001E-5     200                      4.559968509830924E-13
5.000000000000001E-5     210                      4.599566252716629E-13
5.000000000000001E-5     220                      4.640052144046769E-13
5.000000000000001E-5     230                      4.680425475718473E-13
5.000000000000001E-5     240                      4.718316278152478E-13
5.000000000000001E-5     250                      4.75195494708689E-13
5.000000000000001E-5     260                      4.781472965721386E-13
5.000000000000001E-5     270                      4.809500153252138E-13
5.000000000000001E-5     280                      4.838470494215908E-13
5.000000000000001E-5     290                      4.866845709836367E-13
5.000000000000001E-5     300                      4.894230297289384E-13
5.000000000000001E-5     310                      4.919491450957422E-13
5.000000000000001E-5     320                      4.942597828732809E-13
5.000000000000001E-5     330                      4.964698920775687E-13
5.000000000000001E-5     340                      4.987274939072782E-13
5.000000000000001E-5     350                      5.011102365721045E-13
5.000000000000001E-5     360                      5.035334916251779E-13
5.000000000000001E-5     370                      5.059557690141985E-13
5.000000000000001E-5     380                      5.083972221715142E-13
5.000000000000001E-5     390                      5.10892411641994E-13
5.000000000000001E-5     400                      5.134685214921721E-13
5.000000000000001E-5     410                      5.161308884301457E-13
5.000000000000001E-5     420                      5.188653731340467E-13
5.000000000000001E-5     430                      5.216511669080326E-13
5.000000000000001E-5     440                      5.244804146885993E-13
5.000000000000001E-5     450                      5.273366978284927E-13
5.000000000000001E-5     460                      5.302321966059054E-13
5.000000000000001E-5     470                      5.332181645912278E-13
5.000000000000001E-5     480                      5.363125040130577E-13
5.000000000000001E-5     490                      5.394877923088085E-13
5.000000000000001E-5     500                      5.426945890016676E-13
5.000000000000001E-5     510                      5.458921925312748E-13
5.000000000000001E-5     520                      5.491024323401897E-13
5.000000000000001E-5     530                      5.523242086628056E-13
5.000000000000001E-5     540                      5.555721065364485E-13
5.000000000000001E-5     550                      5.588622036923655E-13
5.000000000000001E-5     560                      5.621880651964351E-13
5.000000000000001E-5     570                      5.655249546550044E-13
5.000000000000001E-5     580                      5.68845753696269E-13
