% Model:              fff-holesurface-binding-with epi-new_kb5E-2.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 24 2026, 15:21
% Q (L/min)              Time (s)                N_bound (mol/m^2)
0                        3530                     1.0285501866669264E-14
0                        3540                     1.0269956105156855E-14
0                        3550                     1.0254539802870732E-14
0                        3560                     1.0239201674315884E-14
0                        3570                     1.0223883141796141E-14
0                        3580                     1.0208602434769077E-14
0                        3590                     1.0193372741833449E-14
0                        3600                     1.0178224987197194E-14
5.000000000000001E-5     0                        4.9609281987433906E-15
5.000000000000001E-5     10                       1.4831429354064518E-13
5.000000000000001E-5     20                       1.6159540619420667E-13
5.000000000000001E-5     30                       1.5753249156894304E-13
5.000000000000001E-5     40                       1.4863295994344843E-13
5.000000000000001E-5     50                       1.389849144338557E-13
5.000000000000001E-5     60                       1.2990056723804365E-13
5.000000000000001E-5     70                       1.2174458647656692E-13
5.000000000000001E-5     80                       1.1472438878415925E-13
5.000000000000001E-5     90                       1.0877032926210072E-13
5.000000000000001E-5     100                      1.0343176426549947E-13
5.000000000000001E-5     110                      9.970140740668084E-14
5.000000000000001E-5     120                      9.64897349414269E-14
5.000000000000001E-5     130                      9.180896102397356E-14
5.000000000000001E-5     140                      8.85061196765468E-14
5.000000000000001E-5     150                      8.827680799968801E-14
5.000000000000001E-5     160                      8.621546199785013E-14
5.000000000000001E-5     170                      8.499523787669656E-14
5.000000000000001E-5     180                      8.382527124542632E-14
5.000000000000001E-5     190                      8.296709210784292E-14
5.000000000000001E-5     200                      8.231389490072581E-14
5.000000000000001E-5     210                      8.171757848280369E-14
5.000000000000001E-5     220                      8.12748644502372E-14
5.000000000000001E-5     230                      8.093126095307455E-14
5.000000000000001E-5     240                      8.06720746330774E-14
5.000000000000001E-5     250                      8.04975703398287E-14
5.000000000000001E-5     260                      8.039548323054458E-14
5.000000000000001E-5     270                      8.033411476261927E-14
5.000000000000001E-5     280                      8.031797107665495E-14
5.000000000000001E-5     290                      8.035315113578798E-14
5.000000000000001E-5     300                      8.043730825957463E-14
5.000000000000001E-5     310                      8.055870836390117E-14
5.000000000000001E-5     320                      8.069679678406817E-14
5.000000000000001E-5     330                      8.085806544595368E-14
5.000000000000001E-5     340                      8.107131689850936E-14
5.000000000000001E-5     350                      8.13503096559509E-14
5.000000000000001E-5     360                      8.165614169589787E-14
5.000000000000001E-5     370                      8.196761158233088E-14
5.000000000000001E-5     380                      8.230518625813859E-14
5.000000000000001E-5     390                      8.26803532263766E-14
5.000000000000001E-5     400                      8.306609524439828E-14
5.000000000000001E-5     410                      8.34853620820254E-14
5.000000000000001E-5     420                      8.392524841645205E-14
5.000000000000001E-5     430                      8.437596272630866E-14
5.000000000000001E-5     440                      8.485348740222516E-14
5.000000000000001E-5     450                      8.53400911184514E-14
5.000000000000001E-5     460                      8.583646758223015E-14
5.000000000000001E-5     470                      8.635099235642183E-14
5.000000000000001E-5     480                      8.68689473446165E-14
5.000000000000001E-5     490                      8.739473548286536E-14
5.000000000000001E-5     500                      8.792918441300366E-14
5.000000000000001E-5     510                      8.846514771768082E-14
5.000000000000001E-5     520                      8.900537357290172E-14
5.000000000000001E-5     530                      8.954770691013568E-14
5.000000000000001E-5     540                      9.009027846413597E-14
5.000000000000001E-5     550                      9.063240866559047E-14
5.000000000000001E-5     560                      9.117389133914433E-14
5.000000000000001E-5     570                      9.171351958109793E-14
5.000000000000001E-5     580                      9.224961298480646E-14
5.000000000000001E-5     590                      9.278252431088955E-14
5.000000000000001E-5     600                      9.331270099313E-14
5.000000000000001E-5     610                      9.383321088696441E-14
5.000000000000001E-5     620                      9.434639818789964E-14
5.000000000000001E-5     630                      9.485838464038252E-14
5.000000000000001E-5     640                      9.536525971833701E-14
5.000000000000001E-5     650                      9.586526354813663E-14
5.000000000000001E-5     660                      9.636028529822978E-14
5.000000000000001E-5     670                      9.684144138549518E-14
5.000000000000001E-5     680                      9.731811378870794E-14
5.000000000000001E-5     690                      9.778729290816568E-14
5.000000000000001E-5     700                      9.824816868174617E-14
5.000000000000001E-5     710                      9.870300910655299E-14
5.000000000000001E-5     720                      9.914167299459653E-14
5.000000000000001E-5     730                      9.95753207401572E-14
5.000000000000001E-5     740                      1.0000090187226327E-13
5.000000000000001E-5     750                      1.0041765860299184E-13
5.000000000000001E-5     760                      1.008279635715025E-13
5.000000000000001E-5     770                      1.0122121029067765E-13
5.000000000000001E-5     780                      1.0160923904075945E-13
5.000000000000001E-5     790                      1.0198897947726301E-13
5.000000000000001E-5     800                      1.0235926004443637E-13
5.000000000000001E-5     810                      1.027218685154958E-13
5.000000000000001E-5     820                      1.0306915820148083E-13
5.000000000000001E-5     830                      1.0341280829669041E-13
5.000000000000001E-5     840                      1.0374817127897491E-13
5.000000000000001E-5     850                      1.0407841088644468E-13
5.000000000000001E-5     860                      1.043956559020952E-13
5.000000000000001E-5     870                      1.0470143394744583E-13
5.000000000000001E-5     880                      1.0500206179819983E-13
5.000000000000001E-5     890                      1.0529114754655322E-13
5.000000000000001E-5     900                      1.055688923157077E-13
5.000000000000001E-5     910                      1.058426832712546E-13
5.000000000000001E-5     920                      1.0610443610041011E-13
5.000000000000001E-5     930                      1.0636001533984108E-13
5.000000000000001E-5     940                      1.0661024639242107E-13
5.000000000000001E-5     950                      1.068478882575142E-13
5.000000000000001E-5     960                      1.0708172654096E-13
5.000000000000001E-5     970                      1.0730865860237713E-13
5.000000000000001E-5     980                      1.0752678326592284E-13
5.000000000000001E-5     990                      1.0774042320368291E-13
5.000000000000001E-5     1000                     1.0794690657671051E-13
5.000000000000001E-5     1010                     1.0814144027360989E-13
5.000000000000001E-5     1020                     1.0833335138192379E-13
5.000000000000001E-5     1030                     1.0851813218347558E-13
5.000000000000001E-5     1040                     1.0869251600172166E-13
5.000000000000001E-5     1050                     1.0886083038921063E-13
5.000000000000001E-5     1060                     1.0902745280069677E-13
5.000000000000001E-5     1070                     1.091885900509134E-13
5.000000000000001E-5     1080                     1.0934093101797292E-13
5.000000000000001E-5     1090                     1.0948703263851597E-13
5.000000000000001E-5     1100                     1.0963148778768443E-13
5.000000000000001E-5     1110                     1.0977080831764988E-13
5.000000000000001E-5     1120                     1.0990207405061155E-13
5.000000000000001E-5     1130                     1.100278834401906E-13
5.000000000000001E-5     1140                     1.1015225589581407E-13
5.000000000000001E-5     1150                     1.1027210796279244E-13
5.000000000000001E-5     1160                     1.1038484177177813E-13
5.000000000000001E-5     1170                     1.1049272527771981E-13
5.000000000000001E-5     1180                     1.1059934061592886E-13
5.000000000000001E-5     1190                     1.1070197275179548E-13
5.000000000000001E-5     1200                     1.1079834068330772E-13
5.000000000000001E-5     1210                     1.1089046477194833E-13
5.000000000000001E-5     1220                     1.1098147787925566E-13
5.000000000000001E-5     1230                     1.1106900379302234E-13
5.000000000000001E-5     1240                     1.1115069490092887E-13
5.000000000000001E-5     1250                     1.1123099058918848E-13
5.000000000000001E-5     1260                     1.1130859439022533E-13
5.000000000000001E-5     1270                     1.1138006864536574E-13
5.000000000000001E-5     1280                     1.1144875660663295E-13
5.000000000000001E-5     1290                     1.1151590164941544E-13
5.000000000000001E-5     1300                     1.1158199948152406E-13
5.000000000000001E-5     1310                     1.1164507475389564E-13
5.000000000000001E-5     1320                     1.1170371880077227E-13
5.000000000000001E-5     1330                     1.1175984012289759E-13
5.000000000000001E-5     1340                     1.1181526344927453E-13
5.000000000000001E-5     1350                     1.1186845639383874E-13
5.000000000000001E-5     1360                     1.1191803351496348E-13
5.000000000000001E-5     1370                     1.1196475486968612E-13
5.000000000000001E-5     1380                     1.1201022970398386E-13
5.000000000000001E-5     1390                     1.1205518827348391E-13
5.000000000000001E-5     1400                     1.1209845260497956E-13
5.000000000000001E-5     1410                     1.1213869363317884E-13
5.000000000000001E-5     1420                     1.1217721930089522E-13
5.000000000000001E-5     1430                     1.1221489827130187E-13
